age,height,weight,activity_level,diet_quality,smoking_status,alcohol_consumption,sleep_hours,stress_level,health_tips
23,165,74,Low,Poor,No,No,8,High,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
51,181,81,Moderate,Average,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health.
40,161,85,Low,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
76,152,86,Moderate,Average,Yes,No,4,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
36,192,98,Moderate,Good,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health.
28,164,64,Moderate,Good,No,Yes,9,Low,Limit alcohol consumption to maintain liver health.
47,162,60,Low,Good,Yes,Yes,6,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
29,160,78,Moderate,Poor,No,Yes,7,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
48,157,57,High,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
25,172,76,High,Average,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night.
76,165,89,Low,Good,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
48,153,79,Moderate,Poor,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
60,165,62,Moderate,Good,Yes,No,4,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
39,193,86,Low,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
25,182,62,High,Average,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
43,152,86,Low,Average,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
62,196,91,Moderate,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
72,175,51,Low,Poor,No,No,9,Low,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
72,195,67,Low,Average,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
37,156,85,Low,Average,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
43,163,95,Low,Poor,Yes,No,8,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
63,196,83,Moderate,Good,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
75,162,78,High,Good,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
60,180,79,Moderate,Poor,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
21,175,74,High,Good,Yes,No,7,High,Consider quitting smoking to improve your overall health.
70,196,76,Moderate,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
38,151,83,Moderate,Good,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
67,165,99,Low,Average,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
37,158,58,Low,Good,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
75,194,91,High,Good,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
55,177,71,Moderate,Good,Yes,No,7,Low,Consider quitting smoking to improve your overall health.
51,150,68,Moderate,Poor,Yes,No,9,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
78,193,58,High,Good,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
62,186,67,Moderate,Poor,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
43,178,69,Low,Poor,No,No,8,Low,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
25,192,52,Moderate,Good,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
78,193,89,High,Average,No,No,7,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
55,192,69,Moderate,Good,No,No,9,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
38,169,87,High,Poor,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
76,184,63,Moderate,Average,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
52,155,77,High,Average,No,No,9,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
34,184,66,Moderate,Good,No,No,8,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
63,184,67,Low,Poor,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
58,151,64,Low,Good,Yes,No,7,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
57,182,73,Moderate,Good,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night.
51,150,76,High,Poor,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
51,187,78,High,Average,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
19,152,73,High,Good,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
27,155,86,High,Average,No,Yes,7,Low,Limit alcohol consumption to maintain liver health.
41,162,51,High,Average,No,No,9,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
22,151,73,Moderate,Average,No,No,8,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
42,157,63,Low,Poor,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
24,189,89,Moderate,Good,Yes,No,7,High,Consider quitting smoking to improve your overall health.
51,184,61,Moderate,Poor,No,No,8,Low,Improve your diet by including more fruits and vegetables.
68,194,64,Low,Poor,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
78,181,51,Moderate,Good,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
42,174,99,High,Good,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
79,164,67,Low,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
70,181,92,Low,Average,No,Yes,5,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
77,171,59,Moderate,Good,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
73,169,66,Moderate,Good,No,No,7,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
75,181,61,Moderate,Poor,No,Yes,8,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
28,173,61,Moderate,Poor,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
47,198,88,Low,Average,Yes,No,7,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
65,199,56,Low,Average,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
74,185,55,High,Good,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night.
46,182,78,Moderate,Good,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
42,150,92,Moderate,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
21,187,59,High,Average,Yes,No,4,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
36,170,96,Low,Poor,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
39,158,92,Low,Poor,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
24,193,89,Low,Poor,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
38,155,96,High,Poor,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
39,190,93,Moderate,Average,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
73,198,86,Low,Good,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
45,175,59,Low,Poor,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
44,156,54,Moderate,Good,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
43,168,73,Moderate,Good,No,No,8,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
18,173,89,Moderate,Poor,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
64,155,95,High,Poor,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
21,160,82,High,Good,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
71,185,63,Low,Good,No,No,5,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
55,170,97,High,Good,No,Yes,7,Low,Limit alcohol consumption to maintain liver health.
25,150,82,Low,Average,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
74,195,53,High,Average,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
34,181,99,Low,Good,No,No,9,Low,Increase your physical activity to at least 30 minutes a day.
29,157,97,Low,Average,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
29,166,79,Low,Good,No,No,9,Medium,Increase your physical activity to at least 30 minutes a day.
62,185,67,Moderate,Poor,No,Yes,8,Low,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
20,187,74,Moderate,Good,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
72,167,58,High,Poor,No,No,9,Medium,Improve your diet by including more fruits and vegetables.
23,166,54,Moderate,Average,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night.
35,170,57,Low,Average,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
76,185,80,Moderate,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
79,185,69,Moderate,Average,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
32,173,61,Moderate,Average,No,Yes,9,Low,Limit alcohol consumption to maintain liver health.
23,174,54,Low,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
32,160,53,Moderate,Average,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
35,171,91,High,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
59,170,52,Low,Good,Yes,Yes,6,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
64,191,59,Moderate,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
62,177,67,Moderate,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
48,170,78,Low,Good,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
52,187,97,Low,Good,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
21,197,82,Moderate,Good,No,No,7,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
18,170,80,Low,Average,No,No,7,Medium,Increase your physical activity to at least 30 minutes a day.
47,168,85,High,Average,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
62,169,54,High,Good,No,Yes,7,Low,Limit alcohol consumption to maintain liver health.
62,160,70,High,Poor,Yes,No,8,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
62,157,97,High,Good,Yes,No,8,High,Consider quitting smoking to improve your overall health.
69,192,86,High,Poor,No,Yes,7,Low,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
79,191,80,High,Poor,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
18,181,92,Low,Average,No,No,9,Low,Increase your physical activity to at least 30 minutes a day.
35,164,79,Low,Poor,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
47,179,86,Low,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
45,181,86,High,Average,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
52,183,74,Moderate,Good,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health.
68,180,59,High,Good,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
69,189,64,Moderate,Average,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health.
54,193,54,High,Average,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
77,183,65,Low,Poor,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
39,179,59,Low,Good,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
48,158,81,High,Average,Yes,No,7,Low,Consider quitting smoking to improve your overall health.
74,185,97,Moderate,Good,No,No,7,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
55,156,77,Low,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
35,158,69,High,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
56,195,87,High,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
33,184,93,High,Poor,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
19,160,69,High,Average,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health.
33,188,67,High,Good,Yes,No,8,High,Consider quitting smoking to improve your overall health.
59,174,60,Low,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
40,175,91,High,Poor,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
63,180,64,Moderate,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
35,159,98,High,Poor,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
62,180,77,High,Good,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
71,193,68,Moderate,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
40,184,55,Low,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
31,177,95,High,Average,Yes,Yes,4,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
68,157,54,Low,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
65,175,90,High,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
20,166,84,High,Poor,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
29,194,55,Low,Poor,Yes,No,9,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
27,152,59,Moderate,Poor,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
68,180,83,Moderate,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
58,154,70,High,Average,No,No,9,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
72,158,90,Moderate,Average,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night.
69,198,73,High,Good,Yes,No,7,Medium,Consider quitting smoking to improve your overall health.
65,170,93,Low,Good,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
22,197,65,Moderate,Poor,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
28,183,57,High,Average,Yes,Yes,4,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
67,156,95,High,Average,No,Yes,7,High,Limit alcohol consumption to maintain liver health.
24,179,88,Moderate,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
72,156,98,Moderate,Average,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
62,186,74,Low,Average,No,No,9,Medium,Increase your physical activity to at least 30 minutes a day.
26,176,73,Moderate,Average,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
26,183,55,High,Poor,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
26,170,62,Moderate,Average,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
62,165,70,Low,Average,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
55,161,62,Low,Good,No,No,7,Medium,Increase your physical activity to at least 30 minutes a day.
36,165,78,Low,Good,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
20,192,85,Low,Good,Yes,Yes,6,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
23,171,71,Low,Good,Yes,Yes,6,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
47,177,55,Low,Poor,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
75,193,88,Moderate,Good,No,Yes,5,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
55,168,67,Moderate,Average,No,No,7,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
54,160,51,Low,Poor,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
60,162,62,Moderate,Poor,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
47,198,58,High,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
45,152,53,High,Good,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
35,161,86,High,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
76,156,63,Moderate,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
29,183,73,Moderate,Average,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health.
67,173,57,Low,Average,No,No,8,High,Increase your physical activity to at least 30 minutes a day.
26,191,89,High,Poor,Yes,No,7,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
42,180,80,High,Poor,No,No,8,Low,Improve your diet by including more fruits and vegetables.
21,176,86,Moderate,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
66,192,96,Moderate,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
29,174,58,Moderate,Poor,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
75,153,60,Low,Average,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
68,170,55,Low,Average,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
33,173,89,High,Good,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
75,161,52,Moderate,Good,Yes,No,7,Medium,Consider quitting smoking to improve your overall health.
21,154,69,High,Poor,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
72,193,53,Moderate,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
54,156,74,Low,Good,No,No,8,Medium,Increase your physical activity to at least 30 minutes a day.
78,179,60,Moderate,Good,No,No,7,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
57,160,72,Low,Average,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
39,174,51,Moderate,Average,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health.
47,171,69,Moderate,Good,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
71,159,78,High,Average,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night.
21,188,79,Low,Average,Yes,Yes,5,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
74,160,83,Low,Good,No,Yes,7,High,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
29,159,72,Moderate,Average,Yes,No,7,Medium,Consider quitting smoking to improve your overall health.
73,187,57,High,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
33,161,58,Moderate,Average,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health.
63,169,96,Moderate,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health.
44,186,98,Low,Good,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
33,197,91,Moderate,Average,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
51,196,79,Low,Poor,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
29,179,69,Low,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
73,178,72,Moderate,Average,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
23,189,91,Moderate,Average,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
48,156,58,High,Poor,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
76,152,99,High,Poor,No,Yes,8,Low,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
22,159,57,Moderate,Good,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
77,185,50,High,Average,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
50,158,78,Low,Good,No,No,6,Medium,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
55,158,55,Moderate,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
